rank,label,batch,metric_source,group,capacity,depth,norm,dropout,fid128,fid128_step,fid32,delta_vs_baseline,valid_loss,router_valid_loss,router_valid_top1,router_usage_entropy,router_overfit_loss_gap,fm_pred_target_var_ratio,flow_straightness,flow_curvature,data_status,run_name
1,d4 none dropout 0.2,router_deep4,kaggle_diagnostics,deep_router,d4/h128/m256,4,none,0.2,7.094150543212891,300000,9.28618335723877,0.12515054321289032,0.456211656332016,0.14372570160776377,0.943359375,0.9491737447679043,0.04119203332811594,0.6508567136423884,1.1107182781714613,0.02083886697021363,final kaggle diagnostics,tide-routerdeep-d4-drop02-k16-top2-soft075-dir512
2,LayerNorm + dropout 0.2,router_reg_capacity,kaggle_diagnostics,layernorm,d3/h128/m256,3,layer_norm,0.2,7.147288799285889,350000,9.414027214050293,0.17828879928588837,0.46637046337127686,0.23009558487683535,0.912109375,0.943699412047863,-0.026930461637675762,0.6693313995134271,1.1100860433200437,0.020822160808212312,final kaggle diagnostics,tide-routerreg-uniform-ln-drop02-k16-top2-soft075-dir512
3,dropout 0.3,router_reg_capacity,kaggle_diagnostics,dropout,d3/h128/m256,3,none,0.3,7.152560234069824,350000,9.419227600097656,0.1835602340698239,0.4684326648712158,0.20441660936921835,0.9140625,0.9504701346158981,0.017537719570100307,0.628263330103291,1.1091907670735703,0.02082546475960318,final kaggle diagnostics,tide-routerreg-uniform-drop03-k16-top2-soft075-dir512
4,d5 layer_norm dropout 0.2,router_deep4,kaggle_diagnostics,deep_router,d5/h128/m256,5,layer_norm,0.2,7.163968086242676,300000,9.237953186035156,0.19496808624267548,0.4610390067100525,0.11118624452501535,0.9638671875,0.947912160307169,0.0211612144485116,0.660616478964066,1.1110832268929542,0.020914340899099628,final kaggle diagnostics,tide-routerdeep-d5-ln-drop02-k16-top2-soft075-dir512
5,dropout 0.2,router_reg_capacity,kaggle_diagnostics,dropout,d3/h128/m256,3,none,0.2,7.174722194671631,350000,9.431317329406738,0.20572219467163055,0.4611440896987915,0.23250124882906675,0.9052734375,0.949291467666626,0.11286038439720869,0.6542473122496668,1.1097311738811795,0.020924902211426927,final kaggle diagnostics,tide-routerreg-uniform-drop02-k16-top2-soft075-dir512
6,low-cap plain,router_reg_capacity,kaggle_diagnostics,low capacity,d2/h64/m128,2,none,0.0,7.255057334899902,300000,9.437702178955078,0.28605733489990204,0.4478820562362671,0.4789391662925482,0.8203125,0.940370537340641,0.13987826369702816,0.6740010145599379,1.1100309863114906,0.020717462310400767,final kaggle diagnostics,tide-routercap-uniform-low-k16-top2-soft075-dir512
7,"bridge Beta(2,2)",router_smooth5,wandb_snapshot,smooth_source_router,d3/h128/m256,3,none,0.0,7.277482032775879,300000,9.435395240783691,0.3084820327758786,0.45916444063186646,,,0.9390968680381775,,0.6503323187554512,1.1096549227719417,0.020876337726459936,wandb snapshot; Kaggle diagnostics unavailable; FID latest at 300k while train had reached ~349900,tide-routersmooth-bridgeb22-k16-top2-soft075-dir512
8,d4 layer_norm dropout 0.2,router_deep4,kaggle_diagnostics,deep_router,d4/h128/m256,4,layer_norm,0.2,7.294243812561035,300000,9.519283294677734,0.32524381256103485,0.46440619230270386,0.16951995017006993,0.92578125,0.9466355070471764,0.03985244454815984,0.6489745560009194,1.110599538249433,0.020845719548823582,final kaggle diagnostics,tide-routerdeep-d4-ln-drop02-k16-top2-soft075-dir512
9,sample_topk source + layer_norm + dropout 0.2,router_smooth5,wandb_snapshot,smooth_source_router,d3/h128/m256,3,layer_norm,0.2,7.301883220672607,300000,9.57663345336914,0.3328832206726071,0.4576009511947632,,,0.9523561596870422,,0.6564742911819964,1.1098471061348,0.020689328918066782,wandb snapshot; Kaggle diagnostics unavailable; FID latest at 300k while train had reached ~349900,tide-routersmooth-sampletopk-ln-drop02-k16-top2-soft075-dir512
10,LayerNorm + dropout 0.3,router_reg_capacity,kaggle_diagnostics,layernorm,d3/h128/m256,3,layer_norm,0.3,7.304889678955078,350000,9.629096984863281,0.3358896789550778,,0.22969150776043534,0.916015625,0.9429091736674309,0.04921479756012559,0.6501125183962367,1.1100196667644373,0.020890893521802047,final kaggle diagnostics,tide-routerreg-uniform-ln-drop03-k16-top2-soft075-dir512
11,GroupNorm + dropout 0.2,router_reg_capacity,kaggle_diagnostics,groupnorm,d3/h128/m256,3,group_norm,0.2,7.325075149536133,250000,9.405025482177734,0.3560751495361325,0.4564589560031891,0.20122472010552883,0.9140625,0.9460025392472744,0.01642652414739132,0.6331864261020106,1.1101599747262647,0.020683316042279954,final kaggle diagnostics,tide-routerreg-uniform-gn-drop02-k16-top2-soft075-dir512
12,d4 none dropout 0.3,router_deep4,kaggle_diagnostics,deep_router,d4/h128/m256,4,none,0.3,7.335199356079102,300000,9.568598747253418,0.36619935607910126,0.4606713056564331,0.1472723747137934,0.9443359375,0.9433272331953049,-0.1024011557456106,0.6421179952797286,1.1101735438532232,0.020739787041454974,final kaggle diagnostics,tide-routerdeep-d4-drop03-k16-top2-soft075-dir512
13,LayerNorm + dropout 0.2,router_reg_capacity,kaggle_diagnostics,low capacity,d2/h64/m128,2,layer_norm,0.2,7.349255084991455,300000,9.365350723266602,0.3802550849914548,0.45432454347610474,0.43319589737802744,0.8369140625,0.9478136114776134,0.06605196837335825,0.6461040114570008,1.1093276240636625,0.02072167838387706,final kaggle diagnostics,tide-routercap-uniform-low-ln-drop02-k16-top2-soft075-dir512
14,GroupNorm + dropout 0.3,router_reg_capacity,kaggle_diagnostics,groupnorm,d3/h128/m256,3,group_norm,0.3,7.380978107452393,300000,9.53200912475586,0.4119781074523923,0.45874956250190735,0.22828424908220768,0.904296875,0.9490562826395035,-0.05785511992871761,0.6471162101131297,1.1105793914221742,0.020834910962016076,final kaggle diagnostics,tide-routerreg-uniform-gn-drop03-k16-top2-soft075-dir512
15,target T=2.0,router_smooth5,wandb_snapshot,smooth_source_router,d3/h128/m256,3,none,0.0,7.395963668823242,300000,9.612648010253906,0.4269636688232419,0.45619598031044006,,,0.9391937851905823,,0.6430678318046245,1.1102950010458221,0.020856321160502903,wandb snapshot; Kaggle diagnostics unavailable; FID latest at 300k while train had reached ~349900,tide-routersmooth-temp20-k16-top2-soft075-dir512
16,LayerNorm + dropout 0.1,router_reg_capacity,kaggle_diagnostics,layernorm,d3/h128/m256,3,layer_norm,0.1,7.407059669494629,300000,9.593448638916016,0.4380596694946286,0.46086710691452026,0.21048402832821012,0.9111328125,0.9450771100819111,0.062287331093102694,0.6576589022093333,1.1102573963077478,0.020644259400894423,final kaggle diagnostics,tide-routerreg-uniform-ln-drop01-k16-top2-soft075-dir512
17,LayerNorm only,router_reg_capacity,kaggle_diagnostics,layernorm,d3/h128/m256,3,layer_norm,0.0,7.417276859283447,300000,9.457547187805176,0.44827685928344696,0.46603745222091675,0.21763174375519156,0.9072265625,0.9470376893877983,-0.020822821650654078,0.6499988321432644,1.1098871644195694,0.020598653451446684,final kaggle diagnostics,tide-routerreg-uniform-ln-k16-top2-soft075-dir512
18,dropout 0.1,router_reg_capacity,kaggle_diagnostics,dropout,d3/h128/m256,3,none,0.1,7.422021865844727,300000,9.49056339263916,0.45302186584472626,0.46055346727371216,0.2170937997289002,0.9150390625,0.9448122195899487,0.06622347654774785,0.6619684648439507,1.1100856407219186,0.020712935394319273,final kaggle diagnostics,tide-routerreg-uniform-drop01-k16-top2-soft075-dir512
19,target T=1.5,router_smooth5,wandb_snapshot,smooth_source_router,d3/h128/m256,3,none,0.0,7.505949020385742,300000,9.712388038635254,0.5369490203857419,0.45731842517852783,,,0.9465208053588867,,0.6440131024801123,1.110597669925836,0.020770401520001917,wandb snapshot; Kaggle diagnostics unavailable; FID latest at 300k while train had reached ~349900,tide-routersmooth-temp15-k16-top2-soft075-dir512
20,entropy floor 0.25 w=0.05,router_smooth5,wandb_snapshot,smooth_source_router,d3/h128/m256,3,none,0.0,7.53273344039917,300000,9.696596145629883,0.5637334403991696,0.454779714345932,,,0.9457353353500366,,0.6493098238201898,1.1109008500947977,0.020694697878378278,wandb snapshot; Kaggle diagnostics unavailable; FID latest at 300k while train had reached ~349900,tide-routersmooth-entropyfloor025w005-k16-top2-soft075-dir512
